    ---------------------------------------------------------------------------,,,,,,,
    *                                                                      ,,,,,,,
    * Data units = mm                            ,,,,,,,
    * TOP/BOTTOM,REFDES,PCB_x,PCB_y,ROTATION,VALUE,FOOTPRINT,
   SMD_TOP,ATGC_TEMP1,67.5,10.75,0,TP,TP0_5_SMD,
   SMD_TOP,ATGC_TEMP2,63.5,9.25,0,TP,TP0_5_SMD,
   SMD_TOP,C114,108.75,45.75,0,10uF,CC2012,
   SMD_TOP,C129,88.25,13.25,270,10uF,CC2012,
   SMD_TOP,C130,90.5,13.25,270,10uF,CC2012,
   SMD_TOP,C142,150,54.6,0,470nF,CC2012,
   SMD_TOP,C143,150,49.8,0,470nF,CC2012,
   SMD_TOP,C144,150,52.2,0,470nF,CC2012,
   SMD_TOP,C146,150,47.4,0,470nF,CC2012,
   SMD_TOP,C152,141.6,48.8,270,470nF,CC2012,
   SMD_TOP,C153,139.2,48.8,270,470nF,CC2012,
   SMD_TOP,C154,144,48.8,270,470nF,CC2012,
   SMD_TOP,C158,136.8,48.8,270,470nF,CC2012,
   SMD_TOP,C163,150,62.6,0,470nF,CC2012,
   SMD_TOP,C165,150,65,0,470nF,CC2012,
   SMD_TOP,C166,150,67.4,0,470nF,CC2012,
   SMD_TOP,C167,150,60.2,0,470nF,CC2012,
   SMD_TOP,C172,139.75,66,90,470nF,CC2012,
   SMD_TOP,C173,137.25,66,90,470nF,CC2012,
   SMD_TOP,C176,144.75,66,90,470nF,CC2012,
   SMD_TOP,C180,142.25,66,90,470nF,CC2012,
   SMD_TOP,C1875,51.5,71.5,180,1nF,CC1005,
   SMD_TOP,C1876,51.5,74.5,180,1uF,CC1608,
   SMD_TOP,C1877,61,74,270,1uF,CC1608,
   SMD_TOP,C1878,54,78,90,100nF,CC1005,
   SMD_TOP,C1879,61,71,0,1uF,CC1608,
   SMD_TOP,C1894,166,71.5,0,100nF,CC3216,
   SMD_TOP,C1895,166,69.25,0,100nF,CC3216,
   SMD_TOP,C1896,166,67,0,100nF,CC3216,
   SMD_TOP,C1898,166,62.5,0,100nF,CC3216,
   SMD_TOP,C1899,166,60.25,0,100nF,CC3216,
   SMD_TOP,C1901,166,58,0,100nF,CC3216,
   SMD_TOP,C1902,166,55.75,0,100nF,CC3216,
   SMD_TOP,C1903,166,64.75,0,100nF,CC3216,
   SMD_TOP,C1904,166,42.25,0,100nF,CC3216,
   SMD_TOP,C1905,166,40,0,100nF,CC3216,
   SMD_TOP,C1906,166,37.75,0,100nF,CC3216,
   SMD_TOP,C1908,166,53.5,0,100nF,CC3216,
   SMD_TOP,C1909,166,51.25,0,100nF,CC3216,
   SMD_TOP,C1910,166,49,0,100nF,CC3216,
   SMD_TOP,C1911,166,46.75,0,100nF,CC3216,
   SMD_TOP,C1940,166,44.5,0,100nF,CC3216,
   SMD_TOP,C1950,141.9,17.5,270,100nF,CC1005,
   SMD_TOP,C1951,142.9,17.5,270,100nF,CC1005,
   SMD_TOP,C1952,140.9,17.5,270,100nF,CC1005,
   SMD_TOP,C1954,139.9,17.5,270,100nF,CC1005,
   SMD_TOP,C1961,112.75,69,90,100nF,CC1005,
   SMD_TOP,C1962,113.75,69,90,100nF,CC1005,
   SMD_TOP,C1967,117.75,69,90,100nF,CC1005,
   SMD_TOP,C1968,116.75,69,90,100nF,CC1005,
   SMD_TOP,C1969,115.75,69,90,100nF,CC1005,
   SMD_TOP,C1970,114.75,69,90,100nF,CC1005,
   SMD_TOP,C1971,166.5,13.5,0,100nF,CC1005,
   SMD_TOP,C1988,149,38.8,0,680pF,RC1608,
   SMD_TOP,C1989,148.7,40.4,180,22uF,RC2012,
   SMD_TOP,C1990,151.8,38.8,180,680pF,RC1608,
